index,A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),T(730),U(760),V(810),W(860),K(900),L(940),P
71,1066.0425,548.0475,1527.3975,361.47,641.475,900.0975,250.655,254.465,767.665,125.87,206.58,40.2375,64.945,50.8275,138.85,195.2325,65.9075,28.915,63.06
72,1278.3325,663.1,1797.0825,491.1925,773.12,854.5375,342.4125,357.53,893.95,178.055,197.8925,51.08,65.59,50.625,145.28,188.3375,77.2925,37.155,61.49
73,449.6475,631.115,1980.3275,473.07,817.725,1091.34,315.39,339.39,930.26,210.615,217.4425,42.6175,72.1725,58.5525,159.2725,222.7025,61.7325,38.52,32.76
74,1304.78,607.055,1724.2025,457.8325,773.57,1087.83,361.575,374.505,982.805,193.2175,245.33,57.18,76.5,62.86,169.63,233.15,84.48,39.26,56.06
75,242.8875,411.0075,1484.1975,414.9,871.4,1083.1925,297.73,300.99,1070.8525,150.9625,226.805,51.145,77.0775,61.38,146.72,188.355,70.8275,32.6575,37.49
76,1257.9075,377.7675,1229.3425,365.2825,780.9375,986.175,260.975,306.9825,1143.63,175.88,263.6375,59.3425,73.31,59.2775,157.705,199.16,78.6675,35.2775,19.97
77,280.5575,199.835,822.9225,251.935,693.7175,894.4175,223.3875,268.0425,1049.94,162.5925,246.7975,51.4775,73.725,57.5475,147.5675,187.38,71.8075,31.79,27.86
78,930.03,273.0125,958.1375,191.4975,515.4525,825.605,261.8725,293.7625,818.6125,167.72,238.655,50.1925,72.14,57.22,154.99,223.01,81.08,33.78,20.15
79,828.365,394.075,1123.59,312.7825,631.24,885.44,338.06,358.54,849.93,188.24,238.14,53.79,74.98,62.05,162.74,236.53,83.92,39.26,22.6
80,1132.385,499.1975,1485.845,397.9975,735.6825,1038.9825,346.13,367.07,953.2425,190.69,238.14,53.79,71.2,56.41,161.88,232.02,83.92,38.94,10.34
81,127.8425,341.875,1319.2075,421.7375,887.4625,1095.2325,290.6975,320.86,1021.695,167.19,242.16,51.55,75.6925,62.085,146.3625,191.4475,71.315,32.0025,21.72
82,1399.11,689.5075,1742.8575,494.33,811.065,1075.6625,369.3725,381.765,990.41,197.27,257.65,57.715,73.47,59.03,163.815,236.53,82.78,41.08,37.67
83,1433.6225,578.185,1701.865,425.7025,767.7075,1110.62,341.29,362.55,959.3925,191.2475,256.88,55.3825,75.9325,60.0375,167.91,225.26,85.05,38.34,26.1
84,794.32,341.7675,1162.6425,268.645,595.97,923.4975,287.675,316.485,865.575,172.625,233.01,49.56,66.84,52.38,155.6375,220.195,80.795,35.6075,81.99
85,2215.5475,583.89,2019.525,583.72,805.15,1672.925,354.3225,373.88,1240.0625,200.3925,323.34,57.18,78.77,69.3,239.38,302.98,107.73,45.65,80.59
86,964.1975,467.1225,1353.715,410.26,730.6075,1006.5625,260.64,287.74,979.0525,194.2525,252.41,55.7575,71.5325,57.62,159.4475,236.49,81.02,40.62,10
87,1529.8725,646.9125,1667.4725,415.1,679.245,974.2275,287.405,296.895,926.03,160.58,252.7675,49.98,69.68,55.61,164.675,241.3125,83.4925,37.43,58.45
88,864.025,417.7725,1411.7075,320.175,654.8,998.5525,331.345,340.09,919,170.9525,269.195,54.4275,74.4175,60.64,172.8575,246.3825,85.76,36.7975,75.65
89,1837.3625,583.39,1937.175,434.96,637.6025,1115.53,336.585,349.125,865.4425,180.21,226.85,50.83,65.14,52.38,162.74,215.13,88.45,36.52,25.63
